session_id,age,sex,condition,feet
2419021,20,0,0,5000
2419031,19,1,1,1500
2419123,18,0,1,30000
2419126,18,1,1,21569
2419136,18,0,1,40000
2419389,18,1,1,21000
2419527,18,0,1,42000
2419592,18,1,0,66000
2419793,19,0,1,4000
2419818,20,1,0,60000
2419826,18,0,1,40000
2420020,19,1,0,3600
2420253,18,0,1,45000
2420262,20,1,1,31000
2420281,18,0,1,8076
2420284,19,1,1,34500
2420326,19,1,1,44587
2420327,18,1,0,2500
2420330,18,1,1,29000
2420345,18,1,1,20000
2420386,19,1,1,12543
2420433,18,1,1,40000
2420481,32,0,0,5000
2420482,18,1,1,38000
2420518,18,0,1,42000
2420529,20,1,1,28000
2420605,19,0,1,8000
2420622,18,1,0,4000
2420717,22,0,1,29000
2420719,18,1,1,30000
2420736,17,1,1,3862
2420748,21,1,1,43000
2420770,19,0,1,44000
2420960,21,1,1,40000
2421241,18,0,1,43000
2421291,18,1,0,21000
2421306,19,1,1,35000
2421347,19,0,0,14000
2421370,19,0,1,43500
2421515,20,1,0,1900
2421683,20,0,1,2500
2421900,19,1,0,8000
2422167,20,0,1,45000
2422293,18,1,0,3500
2422304,20,1,1,30000
2422707,20,1,0,5280
2423009,18,0,1,4900
2423284,21,1,1,30000
2426851,18,0,1,40000
2434515,19,1,1,40000
2440669,19,0,1,45000
2450238,18,1,1,45250
2453815,21,0,1,32000
2463674,18,1,0,4500
2488410,20,0,1,13798
